-BEGIN HEADER-,,,,,
NASA/POWER Source Native Resolution Daily Data ,,,,,
Dates (month/day/year): 01/01/2020 through 05/31/2025 in LST,,,,,
Location: latitude  -2.9196   longitude -79.0017 ,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2496.1 meters,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,
parameter(s): ,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) ,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) ,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) ,,,,,
-END HEADER-,,,,,
DATE,T2M,RH2M,WS2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2022-03-20,14.3,84.91,1.77,5.97,16.06
2022-03-21,12.91,90.27,1.65,3.25,15.27
2022-03-22,13.67,87.96,1.84,1.63,12.77
2022-03-23,14.22,89.41,2.1,1.68,12.26
2022-03-24,14.26,89.37,2.18,5.62,14.57
2022-03-25,13.61,90.09,1.93,0.84,14.07
2022-03-26,13.27,90.96,1.59,1.25,9.47
2022-03-27,13.15,90.85,1.96,2.9,14.18
2022-03-28,12.45,89.14,2.29,2.53,14.52
2022-03-29,12.97,91.16,1.74,8.42,13.04
2022-03-30,14.1,87.49,1.48,6.2,16.14
2022-03-31,14.08,89.66,1.41,7.59,15.75
2022-04-01,13.57,91.38,2.29,14.61,16.44
2022-04-02,12.94,91.14,2.4,10.54,11.1
2022-04-03,13.38,87.49,1.79,0.12,17.82
2022-04-04,13.42,89.57,2.1,6.3,17.02
2022-04-05,13.19,91.9,2.36,16.79,16.51
2022-04-06,13.3,90.27,2.68,0.24,13.7
2022-04-07,12.96,88.65,2.08,0.43,18.19
2022-04-08,13.18,90.78,1.95,3.67,15.7
2022-04-09,12.5,89.95,2.03,6.4,12.25
2022-04-10,12.9,89.33,1.89,2.25,13.81
2022-04-11,13.59,87.94,2.13,1.71,18.24
2022-04-12,13.65,84.71,2.38,0.54,15.14
2022-04-13,13.56,88.07,2.53,1.38,15.55
2022-04-14,13.43,91.27,3.11,1.06,12.6
2022-04-15,13.52,90.45,3.16,5.2,17.3
2022-04-16,14.29,90.31,2.5,1.04,15.19
2022-04-17,13.96,92.21,2.7,4.64,13.61
2022-04-18,13.11,92.42,2.5,10.45,15.63
2022-04-19,12.87,89.47,1.53,7.04,14.25
2022-04-20,12.94,90.82,1.28,9.73,9.79
2022-04-21,12.63,90.07,1.48,7.57,16.39
2022-04-22,13.53,85.78,0.81,1.3,16.96
2022-04-23,14.2,88.2,1.12,2.8,14.93
2022-04-24,13.72,89.99,1.7,2.05,15.86
2022-04-25,12.93,89.6,2.49,0.07,13.87
2022-04-26,12.76,89.11,2.17,1.27,12.2
2022-04-27,12.37,85.98,1.84,0.1,16.45
2022-04-28,13.02,90.22,2.18,1.62,10.68
2022-04-29,12.24,91.89,3.26,2.89,13.89
2022-04-30,10.74,90.73,3.76,4.17,14.66
2022-05-01,11.09,84.06,2.34,0.05,12.37
2022-05-02,12.09,84.37,1.98,1.65,16.05
2022-05-03,13.02,89.77,2,1.4,14.9
2022-05-04,13.53,91.73,2.49,2.47,12.51
2022-05-05,12.88,92.5,2.45,5.4,14.56
2022-05-06,12.52,91.12,2.07,4.11,13.41
2022-05-07,12.86,89.88,2.63,0.52,13.54
2022-05-08,12.83,89.94,2.92,1.13,14.89
2022-05-09,12.33,87.8,2.16,0.39,18.02
2022-05-10,12.72,89.95,2.15,4.97,6.99
2022-05-11,13.21,89.58,2.06,2.4,13.63
2022-05-12,13,91.63,2.58,2.23,12.05
2022-05-13,13.06,90.07,2.81,0.81,12.33
2022-05-14,12.82,91.08,2.42,9.72,8.76
2022-05-15,12.37,90.59,2.44,4.51,13.41
2022-05-16,12.75,92.33,2.64,3.66,11.38
2022-05-17,12.47,91.91,2.36,9.36,11.27
2022-05-18,12.37,93.28,2.44,6.63,9.85
2022-05-19,12.24,91.36,2.63,2,14.84
2022-05-20,12.19,89.83,2.33,0.14,10.67
2022-05-21,12.81,87.54,1.81,0.11,13.9
2022-05-22,13.83,88.07,1.51,1.06,15.2
2022-05-23,14.14,89.38,1.63,6.05,15.98
2022-05-24,13.22,88.63,2.35,1.22,15.08
2022-05-25,12.26,90.82,2.9,4.67,12.63
2022-05-26,11.89,89.85,3.59,4.75,9.75
2022-05-27,10.87,89.23,2.98,0.9,11.49
2022-05-28,11.39,88.6,2.18,0.87,12.17
2022-05-29,11.25,89.25,2.48,0.22,13.06
2022-05-30,11.23,85.68,1.98,0.7,13.89
2022-05-31,12.55,85.26,1.61,0.12,14.86
2022-06-01,12.9,89.35,1.25,3.09,15.88
2022-06-02,13.03,87.56,1.31,1.98,13.39
2022-06-03,12.08,90.21,1.48,2.9,8.16
2022-06-04,12.42,89.82,1.95,1.33,9.73
2022-06-05,12.17,88.25,1.9,0.01,12.93
2022-06-06,12.22,86.91,1.45,4.3,11.35
2022-06-07,12.65,90.2,1.39,4.87,8.36
2022-06-08,13.02,89.33,1.36,5.56,9.03
2022-06-09,13.32,90.19,1.5,5.87,10.21
2022-06-10,13.06,90.75,2.48,3.59,9.55
2022-06-11,12.01,91.58,3.35,5.27,10.11
2022-06-12,11.33,90.49,3.22,0.91,12.59
2022-06-13,10.93,89.68,3.24,0.29,8.57
2022-06-14,10.4,86.3,2.24,0.01,11
2022-06-15,10.96,85.4,2.01,0,19.27
2022-06-16,11.35,85.85,2.06,0,18.85
2022-06-17,12.5,84.52,1.56,0.44,13.43
2022-06-18,12.06,91,1.95,5.8,8.74
2022-06-19,12.11,91.97,2.75,9.15,15.8
2022-06-20,11.55,88.64,2.33,1.47,11.66
2022-06-21,11.69,90.37,2.14,1.76,8.92
2022-06-22,11.33,93.42,2.51,3.63,9.35
2022-06-23,11.99,91.24,3.16,3.72,12.16
2022-06-24,11.44,92.19,3.26,4.61,10.26
2022-06-25,9.9,89.59,3.04,3.88,16.52
2022-06-26,8.81,80.46,3.25,1.76,7.94
2022-06-27,10.74,74.45,1.92,0.08,10.65
2022-06-28,11.51,80.96,1.58,1.08,14.4
2022-06-29,10.9,87.46,2.14,1.09,14.28
2022-06-30,11.54,90.04,2.17,0.72,11.16
2022-07-01,12.14,88.82,2.21,1.64,12.71
2022-07-02,11.49,90.55,2.78,3.5,9.88
2022-07-03,10.6,93.77,3.55,15.75,7.95
2022-07-04,11.44,92.09,4.5,7.9,9.31
2022-07-05,10.52,91.67,3.73,2.25,11.79
2022-07-06,10.42,91.46,3.46,1.58,10.74
2022-07-07,10.76,90.29,3.16,0.77,11.65
2022-07-08,11,91.4,3.42,0.82,10
2022-07-09,11.5,93.07,3.44,3.37,12.21
2022-07-10,11.11,91.18,2.48,2.78,10.46
2022-07-11,11.89,87.15,2,0.65,9.98
2022-07-12,11.66,87.98,2.13,1.44,8.95
2022-07-13,12.08,89,2.51,1.18,10.32
2022-07-14,12.26,82.74,1.92,0.21,12.64
2022-07-15,13.37,79.53,1.55,1.86,11.2
2022-07-16,13.2,89.05,1.93,4.7,12.32
2022-07-17,11.48,89.59,3.13,2.72,12.01
2022-07-18,10.99,86.85,3.58,1.37,11.36
2022-07-19,11.42,91.66,3.4,2.8,14.03
2022-07-20,11.08,86.08,3.53,0.7,13.54
2022-07-21,10.73,77.53,2.46,0.33,10.29
2022-07-22,11.75,83.8,2.22,0.24,9.02
2022-07-23,12.43,89.07,1.9,3.44,9.89
2022-07-24,12.68,89.94,1.58,6.8,11.98
2022-07-25,12.21,87.89,1.96,4.51,13.76
2022-07-26,11.94,91.95,2.37,9.96,11.43
2022-07-27,11,90.32,2.46,2.05,15.09
2022-07-28,11.58,85.55,2.1,1.48,14.9
2022-07-29,11.2,86.43,2.43,2.16,11.22
2022-07-30,12.07,87.79,2.43,0.37,14
2022-07-31,12.69,86.28,2.04,0.01,11.11
2022-08-01,12.53,87.45,1.95,1.5,11.28
2022-08-02,12.5,88.84,2.3,2.18,9.9
2022-08-03,12,89.19,2.56,3.15,8.11
2022-08-04,11.46,89.27,2.5,2.11,11.23
2022-08-05,10.97,90.07,2.47,0.71,11.4
2022-08-06,11.57,87.3,2.52,0.35,11.18
2022-08-07,11.61,79,2.16,0.46,12.64
2022-08-08,11.58,85.28,2.29,1.81,9.66
2022-08-09,10.95,89.25,3.04,4.05,9.25
2022-08-10,11.44,89.02,3.8,5.33,10.7
2022-08-11,11.56,87.4,3.93,3.34,12.96
2022-08-12,11.4,83.38,2.79,0.06,14.94
2022-08-13,11.55,79.77,2.08,0,13.14
2022-08-14,10.27,72.31,1.78,0.26,14.5
2022-08-15,12.27,78,2.1,0.13,13.51
2022-08-16,12.61,80.74,1.98,0.17,15.89
2022-08-17,13.35,75.16,1.54,1.35,11.77
2022-08-18,13.91,80.27,1.89,0.09,17.16
2022-08-19,12.25,87.99,3.38,1.12,19.82
2022-08-20,10.43,89.24,3.86,4.06,14.71
2022-08-21,10.19,86.89,2.71,1.49,12.56
2022-08-22,10.69,87.93,2.62,0.7,10.4
2022-08-23,11.76,85.42,3.05,0,13.73
2022-08-24,11.62,83.86,3.12,0,11.95
2022-08-25,11.17,82.58,2.65,0.01,12.9
2022-08-26,11.52,71.62,2.22,0,10.78
2022-08-27,11.19,84.28,2.08,0.21,9.99
2022-08-28,12.02,85.08,2.94,0.54,13.32
2022-08-29,10.48,87.26,4.38,4.17,12.1
2022-08-30,11.12,89.43,3.62,1.35,9.13
2022-08-31,12.15,85.93,2.87,0.11,10.33
2022-09-01,13.26,82.15,1.96,0,18.35
2022-09-02,13.32,83.6,2.41,1.21,13.65
2022-09-03,12.01,86.9,3.23,1.99,10.82
2022-09-04,10.83,79.86,3.34,3.04,15.54
2022-09-05,11.08,85.71,3.59,1.54,11.98
2022-09-06,10.66,78.79,3.32,0.88,12.63
2022-09-07,11.72,75.46,2.4,0.31,9.89
2022-09-08,13.21,82.16,2.08,0,16.86
2022-09-09,12.45,65.81,2.45,0,18.63
2022-09-10,11.88,84.48,3.37,0.16,15.42
2022-09-11,12.76,80.8,2.83,0.01,15.27
2022-09-12,13.32,78.72,1.97,0.31,15.13
2022-09-13,13.75,68.86,1.29,1.3,19.03
2022-09-14,13.47,83.35,2.21,1.91,15.79
2022-09-15,12.8,83.25,2.57,3.39,15.97
2022-09-16,11.84,86.45,2.41,3.99,12.86
2022-09-17,12.41,83.65,2.19,0.45,18.84
2022-09-18,13.66,70.1,2.09,0,12.19
2022-09-19,13.27,70.46,1.74,0.03,15.46
2022-09-20,13.11,75.36,1.94,0.09,12.13
2022-09-21,13.47,69.14,2.29,0.12,18.12
2022-09-22,14.61,63.58,1.88,0.75,17.43
2022-09-23,13.83,79.65,2.65,0.59,10.98
2022-09-24,12.93,84.02,2.25,2.57,11.31
2022-09-25,12.88,80.41,1.95,10.91,16.23
2022-09-26,13.05,79.38,2.43,0.26,13.31
2022-09-27,12.88,79.08,2.51,0,19.24
2022-09-28,13.48,68.49,2.01,0.19,14.29
2022-09-29,13.87,69.9,1.68,1.6,15.78
2022-09-30,13.24,82.35,2.41,4.74,17
2022-10-01,11.79,85.58,3.54,4.14,18.05
2022-10-02,11.55,74.32,3.44,0.16,14.38
2022-10-03,12.21,73.62,2.79,0.52,14.28
2022-10-04,13.42,72.87,2.02,0.15,15.82
2022-10-05,14.85,76.39,1.4,0.31,21.81
2022-10-06,14.56,83.47,1.19,1.13,16.94
2022-10-07,13.43,84.78,1.89,2.95,13.93
2022-10-08,12.53,83.1,2.2,0.11,13.15
2022-10-09,12.77,79.64,2.68,0,14.39
2022-10-10,12.33,77.37,2.82,0.47,14.35
2022-10-11,12.88,76.59,2.5,0.64,18.91
2022-10-12,13.83,73.84,1.75,0.13,14.11
2022-10-13,14.68,78.33,1.27,0.13,16.82
2022-10-14,14.71,83.32,1.61,6.92,21.43
2022-10-15,13.18,89.92,2.52,4.45,10.82
2022-10-16,13.62,86.08,2.26,2.79,14.5
2022-10-17,14.04,84.17,1.88,0.93,11.94
2022-10-18,13.93,86.85,1.97,7.08,9.86
2022-10-19,13.55,87.69,1.59,4.23,11.13
2022-10-20,14.2,87.37,1.51,4.07,14.32
2022-10-21,14.69,85.98,1.2,1.61,12.27
2022-10-22,14.57,86.55,1.21,2.11,16.71
2022-10-23,13.97,87.28,1.92,9.21,11.62
2022-10-24,13.27,89.86,1.85,11.36,9.09
2022-10-25,13.85,85.22,1.81,7.19,11.94
2022-10-26,15.51,78.84,1.06,1.53,15.7
2022-10-27,14.93,81.15,1.28,0.05,16.18
2022-10-28,15.75,73.6,1.13,0.01,15.72
2022-10-29,15.96,70.87,1.08,0,16.68
2022-10-30,15.75,68.4,0.91,0.26,14.48
2022-10-31,15.36,68.54,1.46,1.4,17.29
2022-11-01,15.23,78.45,2.38,0.61,18.17
2022-11-02,12.42,88.07,4,1.62,10.2
2022-11-03,11.51,83.34,2.55,0.13,13.14
2022-11-04,13.33,76.73,1.93,0.05,17.88
2022-11-05,14.09,79,1.41,2.09,18.58
2022-11-06,14.56,84.58,2.09,0.27,14.15
2022-11-07,14.03,81.93,1.79,0.8,14.56
2022-11-08,14.39,82.14,1.5,2.13,14.76
2022-11-09,14.12,79.46,1.32,1.09,12.63
2022-11-10,14.07,81.27,1.04,0.89,15.52
2022-11-11,13.94,84.7,1.37,0.29,14.68
2022-11-12,15.22,75,1.16,0.67,14.91
2022-11-13,15.54,69.92,0.94,5.87,15.51
2022-11-14,14.65,82.23,1.59,5.55,14.52
2022-11-15,13.57,88.02,2.88,5.59,14.75
2022-11-16,13.08,87.65,2.82,4.71,18.97
2022-11-17,12.6,85.57,2.16,1.11,15.28
2022-11-18,13.57,82,2.38,0.07,18.63
2022-11-19,13.88,86.1,2.22,1.33,16.04
2022-11-20,14.42,85.12,1.75,1.45,20.68
2022-11-21,15.37,80.91,1.19,2.74,16.27
2022-11-22,13.96,81.45,1.01,3.39,17.41
2022-11-23,14.68,75.43,0.87,1.42,16.9
2022-11-24,14.76,81.97,1.54,0.87,19.56
2022-11-25,14.01,86.24,2.36,1.4,15.39
2022-11-26,13.47,86.67,2.45,1.1,13.57
2022-11-27,13.37,81.95,2.14,0.9,13.02
2022-11-28,14.09,71.62,1.35,0.21,14.6
2022-11-29,15.28,69.36,1.06,0.06,19.07
2022-11-30,14.5,74.15,1.15,0.83,15.9
2022-12-01,14.41,73.41,1.07,2.35,18.87
2022-12-02,13.94,78.67,0.98,5.21,18.05
2022-12-03,13.85,83.58,1.29,0.71,13.62
2022-12-04,15.33,68.9,1.46,0.9,15.22
2022-12-05,14.5,69.26,1.44,1.31,19.41
2022-12-06,13.86,83.14,1.79,2.99,13.26
2022-12-07,13.43,85.17,1.5,1.03,13.3
2022-12-08,13.7,82.27,1.52,0.1,17.56
2022-12-09,13.75,87.48,2.27,2.77,17.67
2022-12-10,12.71,87.17,2.4,3.19,15.23
2022-12-11,13.03,86.37,2.35,0.48,15.34
2022-12-12,13.19,81.05,1.56,0,19.82
2022-12-13,12.58,86.18,2.24,1.98,11
2022-12-14,12.33,86.18,2.32,3.67,13.15
2022-12-15,13.13,82.91,2.49,2.77,16.33
2022-12-16,13.68,84.92,1.95,1.83,17.17
2022-12-17,14.2,83.13,1.76,0.39,18.07
2022-12-18,13.95,84.84,1.13,12.69,17.2
2022-12-19,14.17,84.62,1.98,3.26,14.06
2022-12-20,13.42,86.31,2.22,0.02,11.04
2022-12-21,13.74,82.57,1.99,0.05,16.28
2022-12-22,14.11,84.91,2.14,1.26,14.94
2022-12-23,14.45,81.79,1.64,1.1,18.94
2022-12-24,15.25,81.19,1.34,0.51,17.14
2022-12-25,15.06,84.8,1.66,2.25,9.22
2022-12-26,13.48,82.85,2.03,3.27,11.36
2022-12-27,13.92,74.39,1.3,2.12,14.98
2022-12-28,14.92,74.78,1.48,0.42,15.99
2022-12-29,14.49,82.09,1.47,0.29,14.18
2022-12-30,13.91,89.34,1.59,13.07,14.25
2022-12-31,13.4,85.7,1.12,4.25,8.4
2023-01-01,13.02,81.23,0.98,1.98,16.92
2023-01-02,13.21,76.84,1.18,3.08,9.35
2023-01-03,14.38,75.1,1.14,0.9,14.63
2023-01-04,14.36,83.47,1.32,1.23,16.26
2023-01-05,13.73,88.85,1.27,2.22,13.14
2023-01-06,13.71,85.41,1.19,0.95,17.01
2023-01-07,13.39,86.13,1.52,0.38,12.24
2023-01-08,14.04,84.91,1.54,5.41,13.14
2023-01-09,13.3,87.69,1.17,5.11,15.94
2023-01-10,13.42,88.48,1.25,11.78,16.6
2023-01-11,12.95,89.14,1.57,3.29,14.4
2023-01-12,13.12,88.38,1.37,6.65,17.25
2023-01-13,14.03,87.12,1.25,4.14,18.6
2023-01-14,14.28,87.31,1.24,7.81,16.45
2023-01-15,13.59,90.11,1.44,13.13,12.2
2023-01-16,13.17,89.35,1.06,3.07,13.66
2023-01-17,13.44,88.42,1.4,1.74,11
2023-01-18,13.74,87.63,1.72,3.02,16.58
2023-01-19,12.97,91.83,1.61,9.62,12.32
2023-01-20,12.16,89.86,1.5,6.43,16.14
2023-01-21,12.88,87.26,1.33,0.99,13.34
2023-01-22,13.31,85.51,2.03,0.39,16.75
2023-01-23,12.22,88.46,2.91,2,15.3
2023-01-24,12.19,85.73,2.84,2.12,13.61
2023-01-25,13.51,81,2.07,0.06,16.98
2023-01-26,14.36,82.77,1.54,0.38,17.59
2023-01-27,14.85,84.89,1.3,0.15,15.52
2023-01-28,14.17,84.71,2.14,0.03,16.08
2023-01-29,13.83,80.47,1.9,0.35,15.21
2023-01-30,14.58,83.06,1.49,1.13,13.88
2023-01-31,14.12,86.58,1.35,0.46,12.44
2023-02-01,13.96,88.57,1.39,4.47,14.45
2023-02-02,14.36,85.74,2.32,1.15,13.11
2023-02-03,13.73,82.21,2.09,0.05,14.27
2023-02-04,13.86,83.85,2.52,0.71,12.24
2023-02-05,13.09,85.78,2.64,0.63,12.81
2023-02-06,13.06,83.42,2.64,3.09,13.2
2023-02-07,13.59,85.45,2.7,1.31,15.67
2023-02-08,13.39,86.74,2.46,0.71,14.34
2023-02-09,13.91,82.3,2.21,4.29,16.51
2023-02-10,13.67,85.15,2.6,1.34,17.06
2023-02-11,13.47,87.24,2.5,1.35,10.27
2023-02-12,13.26,88.97,2.24,1.12,14.14
2023-02-13,14.2,86.25,2.23,1.1,10.86
2023-02-14,14.04,88.15,1.69,1.35,13.04
2023-02-15,13.78,86.31,1.86,0.78,12.66
2023-02-16,14.43,86.16,1.5,1.62,18.2
2023-02-17,14.27,90.35,1.18,1.07,15.65
2023-02-18,13.89,88.66,1.39,3.45,13.76
2023-02-19,14.21,79.66,1.54,0.76,16.94
2023-02-20,13.87,85.53,1.34,4.61,12.84
2023-02-21,13.87,86.64,1.08,8.48,12.85
2023-02-22,13.54,90.18,1.89,4.16,15.63
2023-02-23,13.11,87.04,1.87,0.68,16.69
2023-02-24,13.73,82.03,2.14,1.25,17.05
2023-02-25,14.11,82.39,1.7,1.37,12.42
2023-02-26,14.44,85.12,1.82,1.51,14.09
2023-02-27,13.78,87.57,2.89,1.97,15.22
2023-02-28,12.73,88.3,3.24,1.14,12.94
2023-03-01,13.54,86.83,2.85,2.34,14.45
2023-03-02,14.12,88.11,2.36,4.62,12.3
2023-03-03,14.06,87.4,2.37,2.09,14.98
2023-03-04,14.15,89.76,3.03,10.11,15.9
2023-03-05,14,88.38,2.78,6.01,13.58
2023-03-06,13.96,88.16,2.19,8.53,14.91
2023-03-07,14.4,87.28,1.1,8.01,15.26
2023-03-08,14.83,89.3,0.96,6.73,16.19
2023-03-09,14.27,83.94,1.06,5.28,13.94
2023-03-10,13.6,91.86,0.91,6.12,14.23
2023-03-11,14.05,87.37,1.02,3.96,16.1
2023-03-12,13.76,89.82,0.86,6.66,16.03
2023-03-13,13.68,91.01,0.77,4.36,16.99
2023-03-14,13.13,89.87,0.5,9.72,11.9
2023-03-15,14.6,83.9,0.87,1.65,18.86
2023-03-16,14.88,80.9,1.17,0.81,19.55
2023-03-17,14.78,75.04,1.03,1.27,18.87
2023-03-18,14.13,80.1,0.93,0.4,19.92
2023-03-19,13.85,88.1,0.85,0.06,14.25
2023-03-20,14.86,80.38,0.82,0.59,19.24
2023-03-21,14.64,86.93,1.02,1.34,18.1
2023-03-22,14.32,88.05,0.94,0.51,16.9
2023-03-23,13.66,88.63,0.63,4.42,12.23
2023-03-24,13.3,92.53,1.13,13.18,13.43
2023-03-25,13.81,89.51,1.57,2.88,17.61
2023-03-26,13.1,89.71,2.35,6.42,14.28
2023-03-27,13.08,89.41,2.24,1.52,13.85
2023-03-28,12.68,90.27,1.73,7.87,15.25
2023-03-29,13.6,88.69,1.79,2.92,16.13
2023-03-30,13.14,89.96,2.09,1.79,13.37
2023-03-31,12.43,91.95,2.74,4.66,12.21
2023-04-01,12.88,88.47,2.61,1.05,17.17
2023-04-02,12.93,88.43,2.18,5.16,16.46
2023-04-03,13.83,87.32,2.11,3.9,18.69
2023-04-04,14,88.57,1.76,1.98,16.13
2023-04-05,13.52,91.74,1.11,4.66,14.65
2023-04-06,13.88,90.79,0.63,5.39,9.26
2023-04-07,14.19,87.55,0.91,2.74,15.59
2023-04-08,12.97,91.13,1.2,18.31,16.62
2023-04-09,12.81,89.98,2.31,6.41,13.31
2023-04-10,12.26,90.59,2.02,2.6,14.51
2023-04-11,12.88,90.27,1.79,7.74,15.15
2023-04-12,13.65,88.11,1.91,1.37,15.34
2023-04-13,13.92,88.95,1.91,1.88,15.76
2023-04-14,13.58,89.1,1.68,2.86,13.79
2023-04-15,13.97,87,1.97,8.72,16.45
2023-04-16,13.87,87.63,1.36,10.11,13.27
2023-04-17,13.64,92.31,1.05,3.83,10.35
2023-04-18,14.24,84.64,0.67,2.16,17.36
2023-04-19,13.98,92.08,1.59,13.16,14.25
2023-04-20,14.08,88.9,1.41,4.83,14.28
2023-04-21,13.65,90.81,1.38,8.32,16.21
2023-04-22,14.9,82.06,1.15,3.73,12.74
2023-04-23,13.28,92.72,1.39,11.59,12.95
2023-04-24,13.54,84.57,1.56,10.82,17.69
2023-04-25,13.47,87.14,1.54,7.94,13.61
2023-04-26,13.13,88.68,1.38,10.74,17.17
2023-04-27,13.25,91.66,2.13,12.59,17.18
2023-04-28,12.99,90.33,2.01,1.09,14.62
2023-04-29,13.17,92.08,2.07,5.04,15.46
2023-04-30,13.17,90.56,2.05,1.69,16.17
2023-05-01,12.24,89.88,2.24,2.06,16.06
2023-05-02,12.56,89.17,2.53,2.94,16.89
2023-05-03,12.75,90.49,2.72,0.76,13.5
2023-05-04,12.7,90.77,2.71,0.23,15.91
2023-05-05,13.55,90.34,2.91,0.22,12.41
2023-05-06,13.38,90.87,2.94,0.06,15.53
2023-05-07,12.79,85.25,2.19,0.04,13.71
2023-05-08,12.79,89.44,2.5,0.56,18.52
2023-05-09,13,92.47,3.45,4.91,9.04
2023-05-10,12.68,90.61,2.34,6.06,12.85
2023-05-11,12.77,88.78,1.86,4.8,13.89
2023-05-12,13.18,90.02,1.96,6.38,13.61
2023-05-13,13.01,92.46,2.71,10.05,12.36
2023-05-14,12.91,91.74,2.66,1.7,14.7
2023-05-15,13.4,89.96,2.36,1.77,13.16
2023-05-16,14.01,89.02,1.98,0.85,16.43
2023-05-17,14.26,89.22,1.9,0.38,14.48
2023-05-18,14.33,89.5,2.37,1.08,14.45
2023-05-19,13.89,90.62,1.66,6,16.85
2023-05-20,14.43,91.03,1.75,9.84,13.84
2023-05-21,15.04,84.24,1.4,2.03,11.47
2023-05-22,14.9,88.62,1.33,3.56,14.37
2023-05-23,13.96,91.2,1.58,8.74,9.84
2023-05-24,13.87,92.11,1.83,0.5,11.52
2023-05-25,13.81,89.61,1.33,1.65,11.07
2023-05-26,13.25,89.72,1.82,1.5,14.67
2023-05-27,13.28,89.71,1.79,4.32,9.26
2023-05-28,12.74,90.67,1.98,5.72,10.69
2023-05-29,13.09,88.58,1.98,1.58,14.75
2023-05-30,12.76,85.98,1.97,1.23,15.32
2023-05-31,12.26,92.16,2.96,6.18,10.36
2023-06-01,12.21,91.92,2.92,2.57,12.47
2023-06-02,11.53,89.59,2.54,1.32,15.96
2023-06-03,11.99,87.94,2.1,1.99,14.69
2023-06-04,11.52,89.76,2.15,2.21,14.78
2023-06-05,11.58,88.33,2.72,0.57,14.95
2023-06-06,11.35,90.45,2.56,1.08,9.48
2023-06-07,11.61,90.93,2.38,3.01,13.38
2023-06-08,11.78,89.63,2.22,1.14,14.02
2023-06-09,12.53,88.01,1.94,0.46,12.77
2023-06-10,12.44,86.37,1.89,4.45,12.92
2023-06-11,12.6,88.94,2.21,0.69,12.64
2023-06-12,12.16,82.31,2.17,0.21,16.23
2023-06-13,11.75,85.72,2.35,1.33,11.14
2023-06-14,11.83,91.08,3.3,3.15,12.36
2023-06-15,11.19,92.3,3.63,3.56,10.09
2023-06-16,10.91,91.23,3.72,0.49,11.83
2023-06-17,10.08,90.26,3.07,2.58,17.43
2023-06-18,10.65,89.63,3.3,0.45,15.42
2023-06-19,10.89,87.07,2.99,0.02,15.7
2023-06-20,11.83,88.62,3.02,0.07,12.24
2023-06-21,12.38,89.43,2.98,0.38,9.55
2023-06-22,12.79,89.69,2.27,3.66,14.11
2023-06-23,12.73,89.38,2.18,1.59,14.96
2023-06-24,12.06,87.2,2.05,2.85,11.99
2023-06-25,11.66,87.1,2.26,3.47,12.03
2023-06-26,11.16,87.94,2.57,1.34,14.34
2023-06-27,11.26,86.89,2.38,0.32,10.89
2023-06-28,11.71,87.41,2.51,0.36,14.63
2023-06-29,11.51,90.54,3.42,1.82,8.19
2023-06-30,11.36,89.45,3.2,2.54,15.49
2023-07-01,11.94,86.72,2.57,0.37,13.34
2023-07-02,12.25,88,2.15,7.81,12.34
2023-07-03,12.12,85.48,1.71,0.7,10.6
2023-07-04,13.63,83.06,1.62,0.28,12.59
2023-07-05,13.4,86.8,1.78,1.28,13.21
2023-07-06,13.64,87.55,2.05,1.22,14.97
2023-07-07,13.08,89.54,1.91,7.44,10.36
2023-07-08,11.99,90.81,2.06,5.6,13.88
2023-07-09,11.93,88.99,2.69,2.88,14.63
2023-07-10,11.89,86.23,2.5,1.35,12.03
2023-07-11,12.19,88.33,2.54,0.53,12.03
2023-07-12,12.57,86.08,2.36,0.01,15.81
2023-07-13,12.52,84.52,2.39,4.42,15.15
2023-07-14,12.56,84.91,2.32,0.54,8.01
2023-07-15,12.51,87.83,2.66,3.28,11.29
2023-07-16,12.39,88.35,2.95,0.91,11.5
2023-07-17,12.02,89.29,3.31,3.92,13.12
2023-07-18,10.78,82.91,3.51,1.12,16.2
2023-07-19,11.33,90.08,4.45,1.44,13.34
2023-07-20,10.79,89.27,4,1.64,12.81
2023-07-21,11.18,88.94,3.45,0.62,18.8
2023-07-22,11.94,87,3.02,0.05,10.65
2023-07-23,12.02,85.19,2.71,0.05,14.26
2023-07-24,11.55,83.75,2.59,0.13,15.66
2023-07-25,12.67,84.89,2.11,0,17.19
2023-07-26,14.02,75.5,1.34,3.17,18.78
2023-07-27,13.09,86.18,1.99,3.2,10.59
2023-07-28,12.39,88.59,2.82,0.44,13.57
2023-07-29,12.59,89.6,3.58,1.04,16.75
2023-07-30,11.22,81.87,3.14,0.32,17.67
2023-07-31,11.16,85.75,3.21,1.77,15.96
2023-08-01,11.37,87.84,3.82,0.76,15.03
2023-08-02,10.88,82.69,3.2,0.06,12.89
2023-08-03,11.07,78.57,2.56,0.65,18.57
2023-08-04,10.7,86.15,2.54,37.15,16.66
2023-08-05,11.23,87.43,2.64,21.79,15.66
